City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,anadyr,64.75,177.4833,-19.72,71,40,7.0,RU,1711485265
244,mhango,-3.2833,32.85,19.35,94,100,1.39,TZ,1711485265
245,ingeniero guillermo n. juarez,-23.9,-61.85,35.1,22,0,3.94,AR,1711485265
246,dzhambeyty,50.2536,52.595,3.26,99,100,5.45,KZ,1711485265
247,eastham,41.8301,-69.9739,5.6,93,100,6.17,US,1711485266
248,marti,22.9475,-80.9203,31.88,40,84,2.59,CU,1711485266
249,port macquarie,-31.4333,152.9167,16.05,92,12,2.16,AU,1711485151
250,victoria falls,-17.9235,25.843,22.78,56,79,2.28,ZW,1711485267
251,rampur,28.8167,79.0333,21.94,30,86,1.83,IN,1711485267
252,coyhaique,-45.5752,-72.0662,16.34,48,40,3.6,CL,1711485009
253,prainha,-1.8,-53.48,27.72,84,81,1.29,BR,1711485267
254,bangassou,4.7413,22.8184,22.88,93,100,0.56,CF,1711485267
255,al ghayzah,16.2079,52.176,27.89,55,94,3.86,YE,1711485267
256,pangody,65.85,74.4859,-19.48,100,86,2.92,RU,1711485133
257,dwarka,22.2394,68.9678,25.02,83,24,5.54,IN,1711485268
258,cannonvale,-20.2833,148.7,25.66,87,100,2.04,AU,1711485268
259,ortona,42.3496,14.4039,12.44,89,74,1.62,IT,1711485268
260,afaahiti,-17.75,-149.2833,29.93,73,71,6.28,PF,1711485268
261,rampura,30.25,75.2333,22.69,29,96,1.48,IN,1711485268
262,nova odesa,47.3078,31.7851,5.21,94,100,3.15,UA,1711485268
263,kyzyl,51.7,94.45,-13.32,78,50,3.13,RU,1711485085
264,newborough,52.6389,-0.2233,10.57,88,75,2.06,GB,1711485270
265,arraial do cabo,-22.9661,-42.0278,23.98,88,100,3.6,BR,1711485270
266,fuerte olimpo,-21.0415,-57.8738,32.36,44,77,3.05,PY,1711485270
267,porbandar,21.6422,69.6093,25.26,76,39,4.95,IN,1711485271
268,xinqing,48.2333,129.5,-7.58,93,7,0.52,CN,1711485271
269,asekeyevo,53.5742,52.7972,3.94,97,100,7.35,RU,1711485271
270,katsuren-haebaru,26.3369,127.8719,18.01,75,100,2.57,JP,1711485271
271,nova sintra,14.8667,-24.7167,19.65,73,100,8.44,CV,1711485271
272,letlhakeng,-24.0944,25.0298,21.89,52,53,5.47,BW,1711485271
273,badger,64.8,-147.5333,6.51,64,75,1.54,US,1711485271
274,boguchany,58.3814,97.4531,-17.3,96,66,2.24,RU,1711485271
275,sant lluis,39.8526,4.2594,12.22,87,40,6.17,ES,1711485271
276,happy valley-goose bay,53.3168,-60.3315,-0.83,31,75,3.09,CA,1711485125
277,alexander city,32.944,-85.9539,16.77,100,75,2.57,US,1711485272
278,constitucion,-35.3333,-72.4167,20.99,70,48,8.31,CL,1711484998
279,safotu,-13.4513,-172.4018,29.37,75,90,3.79,WS,1711485272
280,hefei,31.8639,117.2808,11.01,87,80,2.0,CN,1711485272
281,auki,-8.7676,160.7034,27.06,83,70,1.62,SB,1711485272
282,cidade velha,14.9167,-23.6167,22.26,73,75,9.77,CV,1711485272
283,belabo,4.9333,13.3,26.41,48,70,1.25,CM,1711485272
284,timbiqui,2.7717,-77.6654,28.13,80,59,2.48,CO,1711485272
285,wenchang,30.904,118.4887,9.95,88,100,1.61,CN,1711485272
286,luanda,-8.8368,13.2343,26.0,89,75,2.06,AO,1711484960
287,carnarvon,-24.8667,113.6333,24.81,61,0,6.44,AU,1711485273
288,yaren,-0.5472,166.916,27.9,80,85,5.1,NR,1711485273
289,mount isa,-20.7333,139.5,22.87,78,41,2.57,AU,1711485273
290,wanning,18.8003,110.3967,22.72,93,11,0.46,CN,1711485273
291,bouna,9.2667,-3.0,32.39,45,100,0.17,CI,1711485273
292,val-des-monts,45.6501,-75.666,10.97,40,100,8.23,CA,1711485019
293,deder,9.3167,41.45,16.37,73,86,1.32,ET,1711485273
294,george town,5.4112,100.3354,28.96,83,20,2.06,MY,1711484991
295,olds,51.7834,-114.102,2.47,86,100,5.66,CA,1711485273
296,lyubinskiy,55.1542,72.6925,-1.18,95,100,3.35,RU,1711485273
297,kone,-21.0595,164.8658,26.37,74,67,1.35,NC,1711485273
298,hultsfred,57.4882,15.8436,2.22,94,100,2.56,SE,1711485274
299,harstad,68.799,16.5293,-2.34,93,100,4.47,NO,1711485274
300,macau,22.2006,113.5461,22.85,88,40,5.66,MO,1711485006
301,yuzhno-kurilsk,44.0306,145.8556,-3.12,89,93,6.97,RU,1711485274
302,kokpekty,48.75,82.4,-8.0,94,33,0.88,KZ,1711485274
303,shiprock,36.7855,-108.687,9.42,24,99,7.08,US,1711485274
304,ulan bator,47.9077,106.8832,-1.93,80,40,5.0,MN,1711485241
305,timaru,-44.4,171.25,12.82,87,92,2.24,NZ,1711485274
306,daru,-9.0763,143.2092,27.27,82,100,1.26,PG,1711485274
307,dingtao,35.0683,115.5625,10.09,85,100,4.36,CN,1711485274
308,axim,4.8699,-2.2405,27.7,86,83,2.9,GH,1711485275
309,san isidro,-12.1167,-77.05,23.77,73,100,4.63,PE,1711485275
310,berdigestyakh,62.0989,126.6992,-11.89,95,100,3.06,RU,1711485199
311,talnakh,69.4865,88.3972,-30.31,97,45,3.56,RU,1711485275
312,moree,-29.4667,149.85,20.4,73,11,2.89,AU,1711485275
313,konarka,19.9,86.1167,25.22,83,4,5.44,IN,1711485275
314,tamanrasset,22.785,5.5228,21.95,33,97,2.06,DZ,1711485275
315,navirai,-23.065,-54.1906,32.36,32,8,1.62,BR,1711485219
316,choele choel,-39.2667,-65.6833,31.25,34,96,2.66,AR,1711485157
317,saipan,15.1355,145.701,25.39,1,40,1.54,MP,1711485275
318,saldanha,-33.0117,17.9442,17.03,85,68,11.96,ZA,1711485276
319,princeville,45.7668,-61.2985,3.16,82,100,5.66,CA,1711485276
320,vyazemskiy,47.5378,134.7525,-7.71,90,50,1.47,RU,1711485276
321,birao,10.2849,22.7882,26.65,14,6,2.47,CF,1711485276
322,envira,-7.3,-70.2167,29.43,78,87,0.45,BR,1711485276
323,broome,42.2506,-75.833,15.21,66,0,6.17,US,1711485277
324,sokcho,38.2083,128.5911,4.34,81,95,0.51,KR,1711485277
325,gobabis,-22.45,18.9667,19.07,76,95,4.88,NA,1711485277
326,laguna,38.421,-121.4238,17.86,66,100,1.34,US,1711484987
327,isiro,2.7739,27.616,20.2,99,76,0.55,CD,1711485277
328,ape,57.5393,26.6929,1.51,83,100,1.97,LV,1711485277
329,nadi,-17.8,177.4167,26.0,89,75,0.0,FJ,1711485277
330,mersing,2.4312,103.8405,27.95,83,20,4.63,MY,1711485278
331,rongelap,11.1635,166.8941,27.0,74,60,8.99,MH,1711485278
332,bamboo flat,11.7,92.7167,26.05,89,1,1.03,IN,1711485278
333,birendranagar,28.6019,81.6339,18.72,36,100,2.32,NP,1711485278
334,sanghar,26.0466,68.9481,28.7,32,46,5.12,PK,1711485278
335,xai-xai,-25.0519,33.6442,21.98,85,2,2.23,MZ,1711485278
336,chipinge,-20.1883,32.6236,17.23,98,70,1.33,ZW,1711485278
337,sidi ifni,29.3797,-10.173,15.86,59,15,9.0,MA,1711485278
338,barra do garcas,-15.89,-52.2567,25.32,94,75,1.07,BR,1711485278
339,fisterra,42.9049,-9.2629,9.3,73,68,7.12,ES,1711485278
340,lomo de arico,28.1667,-16.4833,16.8,61,20,6.69,ES,1711485278
341,labrador city,52.9463,-66.9114,0.95,40,20,3.6,CA,1711485016
342,ternate,0.8,127.4,26.68,82,74,2.18,ID,1711485278
343,port lincoln,-34.7333,135.8667,15.42,75,8,5.22,AU,1711485279
344,palmer,42.1584,-72.3287,8.78,67,100,4.63,US,1711485279
345,port shepstone,-30.7414,30.455,23.68,85,68,8.53,ZA,1711485279
346,glace bay,46.1969,-59.957,2.16,78,100,5.66,CA,1711485279
